review,review_processed,label_text,source_file,review_rating,vader_compound,textblob_polarity,textblob_subjectivity,text_sentiment,normalized_key,label_source,language_pattern,pattern_type
Customer Service is poor. One CX REPRESENTATIVE threat me to disable my options on COD.,customer service is poor one cx representative threat me to disable my options on cod,customer service is poor. one cx representative threat me to disable my options on cod.,foodpanda_reviews.csv,2.0,-0.7579,-0.4,0.6,negative,customer service is poor. one cx representative threat me to disable my options on cod.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Such a bad app..im trying to book for a ride from 7am till now there is no respond at all as 8 alrdy late to my work..Please dont support this app..such a useless app,such a bad app im trying to book for a ride from 7 am till now there is no NOT_respond NOT_at NOT_all NOT_as 8 alrdy late to my work please do not NOT_support NOT_this NOT_app such a useless app,such a bad app.. im trying to book for a ride from 7 am till now there is no respond at all as 8 alrdy late to my work.. please do not support this app.. such a useless app,grab_reviews.csv,1.0,-0.8155,-0.29999999999999993,0.49333333333333335,negative,such a bad app..im trying to book for a ride from 7am till now there is no respond at all as 8 alrdy late to my work..please dont support this app..such a useless app,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Bad, and really bad service. I still like uber than grab due to price and due to many comparision, not friendly apps, grab so expensive, yes really expensive. I hate it.",bad and really bad service i still like uber than grab due to price and due to many comparision not NOT_friendly NOT_apps grab so expensive yes really expensive i hate it,"bad, and really bad service. i still like uber than grab due to price and due to many comparision, not friendly apps, grab so expensive, yes really expensive. i hate it.",grab_reviews.csv,1.0,-0.8453,-0.34861111111111104,0.5981481481481482,negative,"bad, and really bad service. i still like uber than grab due to price and due to many comparision, not friendly apps, grab so expensive, yes really expensive. i hate it.",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Worst experience ever with grab food, being repeatedly scammed with proof on multiple occasions, and upon contacting grab everytime all they say is sorry we cannot do anything.",worst experience ever with grab food being repeatedly scammed with proof on multiple occasions and upon contacting grab everytime all they say is sorry we cannot NOT_do NOT_anything,"worst experience ever with grab food, being repeatedly scammed with proof on multiple occasions, and upon contacting grab everytime all they say is sorry we cannot do anything.",grab_reviews.csv,1.0,-0.6597,-0.5,0.6666666666666666,negative,"worst experience ever with grab food, being repeatedly scammed with proof on multiple occasions, and upon contacting grab everytime all they say is sorry we cannot do anything.",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
I was not able to use a coupon code on my first order because the app crashed when I tried was half way through the payment. The customer support denied that I can't use that coupon code again since the failed transaction will still be considered as a new order. What a stupid policy.,i was not NOT_able NOT_to NOT_use NOT_a coupon code on my first order because the app crashed when i tried was half way through the payme not the customer support denied that i unusable that coupon code again since the failed transaction will still be considered as a new order what a stupid policy,i was not able to use a coupon code on my first order because the app crashed when i tried was half way through the payme not. the customer support denied that i unusable that coupon code again since the failed transaction will still be considered as a new order. what a stupid policy.,foodpanda_reviews.csv,1.0,-0.897,-0.22171717171717167,0.4799242424242425,negative,i was not able to use a coupon code on my first order because the app crashed when i tried was half way through the payment. the customer support denied that i can't use that coupon code again since the failed transaction will still be considered as a new order. what a stupid policy.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Um so bad so late delefare,um so bad so late delefare,um so bad so late delefare,foodpanda_reviews.csv,1.0,-0.5849,-0.4999999999999999,0.6333333333333333,negative,um so bad so late delefare,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Terrible app! Always endless loading something their updates are useless.,terrible app always endless loading something their updates are useless,terrible app! always endless loading something their updates are useless.,foodpanda_reviews.csv,1.0,-0.7345,-0.5416666666666666,0.65,negative,terrible app! always endless loading something their updates are useless.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Refund, riders takes forever! Customer service, nada! Those systems generated responses are annoying!",refund riders takes forever customer service nada those systems generated responses are annoying,"refund, riders takes forever! customer service, nada! those systems generated responses are annoying!",foodpanda_reviews.csv,1.0,-0.5538,-1.0,0.9,negative,"refund, riders takes forever! customer service, nada! those systems generated responses are annoying!",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
I hate it. Too much update and the files too large. Would you mind to make improvement with small file size-_-,i hate it too much update and the files too large would you mind to make improveme not NOT_with NOT_small NOT_file NOT_size,i hate it. too much update and the files too large. would you mind to make improveme not with small file size,grab_reviews.csv,3.0,-0.5719,-0.15892857142857145,0.4821428571428572,negative,i hate it. too much update and the files too large. would you mind to make improvement with small file size-_-,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
its stupid n heavy,its stupid n heavy,its stupid n heavy,grab_reviews.csv,1.0,-0.5267,-0.5,0.75,negative,its stupid n heavy,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Worst app,worst company, worst policies, everything about FP just worst.",worst app worst company worst policies everything about fp just worst,"worst app, worst company, worst policies, everything about fp just worst.",foodpanda_reviews.csv,1.0,-0.9545,-1.0,1.0,negative,"worst app,worst company, worst policies, everything about fp just worst.",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
worst service quality ... most of the time delivery not possible ... they are running business with 5 delivery persons ...,worst service quality most of the time delivery not NOT_possible they are running business with 5 delivery persons,worst service quality... most of the time delivery not possible... they are running business with 5 delivery persons...,foodpanda_reviews.csv,2.0,-0.6249,-0.16666666666666666,0.8333333333333334,negative,worst service quality ... most of the time delivery not possible ... they are running business with 5 delivery persons ...,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Rate not good.,rate bad,rate bad.,foodpanda_reviews.csv,3.0,-0.5423,-0.6999999999999998,0.6666666666666666,negative,rate not good.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Very bad experience once time i order delivery boy call come and take delivery on way, 2nd time i order they deduct money from card and after 10 min i receive call from restaurant they said we will not accept your order bcz location not proper even they deliver before on same location, but this they not accept when i ask my refund they said delivery boy cancelled order we will not refund, rubbish only wasting time and money, dont take risk anyone very bad experience ever,i must want 0 star not 1",very bad experience once time i order delivery boy call come and take delivery on way 2 nd time i order they deduct money from card and after 10 min i receive call from restaura not NOT_they NOT_said NOT_we NOT_will not NOT_accept NOT_your NOT_order NOT_bcz location not NOT_proper NOT_even NOT_they NOT_deliver before on same location but this they not NOT_accept NOT_when NOT_i NOT_ask my refund they said delivery boy cancelled order we will not NOT_refund rubbish only wasting time and money do not NOT_take NOT_risk NOT_anyone NOT_very bad experience ever i must wa not NOT_0 NOT_star not NOT_1 CONTRAST_FOCUS this they not NOT_accept NOT_when NOT_i NOT_ask my refund they said delivery boy cancelled order we will not NOT_refund rubbish only wasting time and money do not NOT_take NOT_risk NOT_anyone NOT_very bad experience ever i must wa not NOT_0 NOT_star not NOT_1 CONTRAST_FOCUS this they not NOT_accept NOT_when NOT_i NOT_ask my refund they said delivery boy cancelled order we will not NOT_refund rubbish only wasting time and money do not NOT_take NOT_risk NOT_anyone NOT_very bad experience ever i must wa not NOT_0 NOT_star not NOT_1,"this they not accept when i ask my refund they said delivery boy cancelled order we will not refund, rubbish only wasting time and money, do not take risk anyone very bad experience ever, i must wa not 0 star not 1",foodpanda_reviews.csv,1.0,-0.8344,-0.4549999999999999,0.9333333333333333,negative,"very bad experience once time i order delivery boy call come and take delivery on way, 2nd time i order they deduct money from card and after 10 min i receive call from restaurant they said we will not accept your order bcz location not proper even they deliver before on same location, but this they not accept when i ask my refund they said delivery boy cancelled order we will not refund, rubbish only wasting time and money, dont take risk anyone very bad experience ever,i must want 0 star not 1",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Location bad,location bad,location bad,foodpanda_reviews.csv,4.0,-0.5423,-0.6999999999999998,0.6666666666666666,negative,location bad,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Fed up of this app, so much repetitive ads and annoying me all day long. Shame on yoi guys.",fed up of this app so much repetitive ads and annoying me all day long shame on yoi guys,"fed up of this app, so much repetitive ads and annoying me all day long. shame on yoi guys.",foodpanda_reviews.csv,1.0,-0.7951,-0.3666666666666667,0.5166666666666666,negative,"fed up of this app, so much repetitive ads and annoying me all day long. shame on yoi guys.",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"I don't want to see there adsss stop iritatting customers, although I'm your customer but seriously I'm sick of seeing your add please I also msg this thing tou your Facebook page as well ******,YOU PEOPLE ARE IRRITATING USSS*****",i do not NOT_wa not NOT_to NOT_see NOT_there NOT_ads stop iritatting customers although i am your customer but seriously i am sick of seeing your add please i also msg this thing tou your facebook page as well you people are irritating us CONTRAST_FOCUS seriously i am sick of seeing your add please i also msg this thing tou your facebook page as well you people are irritating us CONTRAST_FOCUS seriously i am sick of seeing your add please i also msg this thing tou your facebook page as well you people are irritating us,"seriously i am sick of seeing your add please i also msg this thing tou your facebook page as well, you people are irritating us",foodpanda_reviews.csv,1.0,-0.5574,-0.5571428571428572,0.8285714285714285,negative,"i don't want to see there adsss stop iritatting customers, although i'm your customer but seriously i'm sick of seeing your add please i also msg this thing tou your facebook page as well ******,you people are irritating usss*****",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Worst app ever.....very very slow ...always loding somthing,worst app ever very very slow always loding somthing,worst app ever..... very very slow... always loding somthing,foodpanda_reviews.csv,1.0,-0.6249,-0.6950000000000001,0.76,negative,worst app ever.....very very slow ...always loding somthing,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Very poor service. You place your order with complete address and pin and after waiting for hour they cancel your order saying its out of range we deliver in bahria not in dha what is this. Why are you placing order thn why are you wasting time. Not recommended at all !,very poor service you place your order with complete address and pin and after waiting for hour they cancel your order saying its out of range we deliver in bahria not NOT_in NOT_dha NOT_what NOT_is this why are you placing order thn why are you wasting time not NOT_recommended NOT_at NOT_all,very poor service. you place your order with complete address and pin and after waiting for hour they cancel your order saying its out of range we deliver in bahria not in dha what is this. why are you placing order thn why are you wasting time. not recommended at all!,foodpanda_reviews.csv,1.0,-0.8392,-0.1975,0.5900000000000001,negative,very poor service. you place your order with complete address and pin and after waiting for hour they cancel your order saying its out of range we deliver in bahria not in dha what is this. why are you placing order thn why are you wasting time. not recommended at all !,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
graveng mahal na nga ng bayad grabe pang hirap mag book . 2 to 3 hours tlga inabot ko wala padi nag aacept ng book ko.,graveng expensive na nga ng bayad grabe pang hirap mag book 2 to 3 hours tlga inabot ko wala padi nag aacept ng book ko,graveng expensive na nga ng bayad grabe pang hirap mag book. 2 to 3 hours tlga inabot ko wala padi nag aacept ng book ko.,grab_reviews.csv,3.0,-0.3612,-0.5,0.7,negative,graveng mahal na nga ng bayad grabe pang hirap mag book . 2 to 3 hours tlga inabot ko wala padi nag aacept ng book ko.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
This app is very bad it is laggy and stupid i will never order anything from this app,this app is very bad it is laggy and stupid i will never NOT_order NOT_anything NOT_from NOT_this app,this app is very bad it is laggy and stupid i will never order anything from this app,foodpanda_reviews.csv,5.0,-0.8016,-0.8549999999999999,0.9333333333333333,negative,this app is very bad it is laggy and stupid i will never order anything from this app,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Very disappointed when I using Foodpanda to order the food and waited for more than one hour!!!!!! Eventually the order got cancelled after I waited an hour, I will never use foodpanda app again... really disappointed.",very disappointed when i using foodpanda to order the food and waited for more than one hour eventually the order got cancelled after i waited an hour i will never NOT_use NOT_foodpanda NOT_app NOT_again really disappointed,"very disappointed when i using foodpanda to order the food and waited for more than one hour!!!!!! eventually the order got cancelled after i waited an hour, i will never use foodpanda app again... really disappointed.",foodpanda_reviews.csv,1.0,-0.8736,-0.2416666666666667,0.7416666666666667,negative,"very disappointed when i using foodpanda to order the food and waited for more than one hour!!!!!! eventually the order got cancelled after i waited an hour, i will never use foodpanda app again... really disappointed.",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Really hate about refunding money to the customer. Take times about 2 weeks. Sometimes they didn't refund that money. This is from all of the customer that they have faced this issues as well,really hate about refunding money to the customer take times about 2 weeks sometimes they did not NOT_refund NOT_that NOT_money this is from all of the customer that they have faced this issues as well,really hate about refunding money to the customer. take times about 2 weeks. sometimes they did not refund that money. this is from all of the customer that they have faced this issues as well,foodpanda_reviews.csv,1.0,-0.4391,-0.8,0.9,negative,really hate about refunding money to the customer. take times about 2 weeks. sometimes they didn't refund that money. this is from all of the customer that they have faced this issues as well,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
One of the worst online ordering service always late Hours wait for food always delayed cold meals due to getting late recently Strong not recommended,one of the worst online ordering service always late hours wait for food always delayed cold meals due to getting late recently strong not NOT_recommended,one of the worst online ordering service always late hours wait for food always delayed cold meals due to getting late recently strong not recommended,foodpanda_reviews.csv,2.0,-0.5093,-0.3152777777777777,0.7180555555555556,negative,one of the worst online ordering service always late hours wait for food always delayed cold meals due to getting late recently strong not recommended,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
I got suspended again i got log out for unknown reason then when i log in again it say suspended.,i got suspended again i got log out for unknown reason then when i log in again it say suspended,i got suspended again i got log out for unknown reason then when i log in again it say suspended.,grab_reviews.csv,1.0,-0.7351,-0.1,0.6,negative,i got suspended again i got log out for unknown reason then when i log in again it say suspended.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Difficult to use,difficult to use,difficult to use,grab_reviews.csv,1.0,-0.3612,-0.5,1.0,negative,difficult to use,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"This is very hard to book ,useless car booking app",this is very hard to book useless car booking app,"this is very hard to book, useless car booking app",grab_reviews.csv,1.0,-0.5413,-0.4395833333333333,0.4520833333333333,negative,"this is very hard to book ,useless car booking app",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Deals are good but waiting for 30 minutes then coming to know ur order has been cancelled is extremely infuriating.,deals are good but waiting for 30 minutes then coming to know ur order has been cancelled is extremely infuriating CONTRAST_FOCUS waiting for 30 minutes then coming to know ur order has been cancelled is extremely infuriating CONTRAST_FOCUS waiting for 30 minutes then coming to know ur order has been cancelled is extremely infuriating,waiting for 30 minutes then coming to know ur order has been cancelled is extremely infuriating.,foodpanda_reviews.csv,4.0,-0.6901,-0.6,0.8,negative,deals are good but waiting for 30 minutes then coming to know ur order has been cancelled is extremely infuriating.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Not very happy with the latest update. The grab pay ad makes the app crash on me whenever i close it. It's starting to become annoying.,not NOT_very NOT_happy NOT_with NOT_the latest update the grab pay ad makes the app crash on me whenever i close it it is starting to become annoying,not very happy with the latest update. the grab pay ad makes the app crash on me whenever i close it. it is starting to become annoying.,grab_reviews.csv,2.0,-0.8408,-0.15192307692307694,0.6673076923076923,negative,not very happy with the latest update. the grab pay ad makes the app crash on me whenever i close it. it's starting to become annoying.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"When people want a ride, they want it fast. This app is incredibly slow and requires going through a number of extra steps to request a car. Uber was a far superior app, but Grab bought it out and has a monopoly here in Vietnam. No competition = poor product.",when people wa not NOT_a NOT_ride they wa not NOT_it NOT_fast this app is incredibly slow and requires going through a number of extra steps to request a car uber was a far superior app but grab bought it out and has a monopoly here in vietnam no NOT_competition NOT_poor NOT_product CONTRAST_FOCUS grab bought it out and has a monopoly here in vietnam no NOT_competition NOT_poor NOT_product CONTRAST_FOCUS grab bought it out and has a monopoly here in vietnam no NOT_competition NOT_poor NOT_product,grab bought it out and has a monopoly here in vietnam. no competition poor product.,grab_reviews.csv,1.0,-0.6486,-0.4,0.6,negative,"when people want a ride, they want it fast. this app is incredibly slow and requires going through a number of extra steps to request a car. uber was a far superior app, but grab bought it out and has a monopoly here in vietnam. no competition = poor product.",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
worst apps I ever knew,worst apps i ever knew,worst apps i ever knew,grab_reviews.csv,1.0,-0.6249,-1.0,1.0,negative,worst apps i ever knew,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"so unfair. I can't use any voucher. it always says ""sorry, this voucher can't be applied to your account"" be fair food panda.",so unfair i unusable any voucher it always says sorry this voucher cannot NOT_be NOT_applied NOT_to NOT_your accou not NOT_be NOT_fair NOT_food NOT_panda,"so unfair. i unusable any voucher. it always says sorry, this voucher cannot be applied to your accou not be fair food panda.",foodpanda_reviews.csv,1.0,-0.6863,-0.10000000000000002,0.9666666666666667,negative,"so unfair. i can't use any voucher. it always says ""sorry, this voucher can't be applied to your account"" be fair food panda.",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
i change my phone no... and i tried to log in with another account but failed. i need to delete or deactivate both account. how to do it... i failed to log in,i change my phone no and i tried to log in with another accou not but failed i need to delete or deactivate both accou not how to do it i failed to log in CONTRAST_FOCUS failed i need to delete or deactivate both accou not how to do it i failed to log in CONTRAST_FOCUS failed i need to delete or deactivate both accou not how to do it i failed to log in,failed. i need to delete or deactivate both accou not. how to do it... i failed to log in,foodpanda_reviews.csv,3.0,-0.765,-0.5,0.3,negative,i change my phone no... and i tried to log in with another account but failed. i need to delete or deactivate both account. how to do it... i failed to log in,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Useless fooking app,useless fooking app,useless fooking app,foodpanda_reviews.csv,1.0,-0.4215,-0.5,0.2,negative,useless fooking app,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Ive redownload this app multiple times and yet when I go on it no restraunts appear even though it said that there 100s of them near me it still doesn't show when I want to order the app is just a terrible service might aswell go out and get it yourself,ive redownload this app multiple times and yet when i go on it no NOT_restraunts NOT_appear NOT_even though it said that there 100 s of them near me it still does not NOT_show NOT_when NOT_i NOT_wa not NOT_to NOT_order NOT_the NOT_app is just a terrible service might aswell go out and get it yourself CONTRAST_FOCUS when i go on it no NOT_restraunts NOT_appear NOT_even though it said that there 100 s of them near me it still does not NOT_show NOT_when NOT_i NOT_wa not NOT_to NOT_order NOT_the NOT_app is just a terrible service might aswell go out and get it yourself CONTRAST_FOCUS when i go on it no NOT_restraunts NOT_appear NOT_even though it said that there 100 s of them near me it still does not NOT_show NOT_when NOT_i NOT_wa not NOT_to NOT_order NOT_the NOT_app is just a terrible service might aswell go out and get it yourself,when i go on it no restraunts appear even though it said that there 100 s of them near me it still does not show when i wa not to order the app is just a terrible service might aswell go out and get it yourself,foodpanda_reviews.csv,1.0,-0.6486,-0.45,0.7,negative,ive redownload this app multiple times and yet when i go on it no restraunts appear even though it said that there 100s of them near me it still doesn't show when i want to order the app is just a terrible service might aswell go out and get it yourself,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Grab app is NOT working for 4hrs now since April 5 6pm,grab app is broken for 4 hrs now since april 5 6 pm,grab app is broken for 4 hrs now since april 5 6 pm,grab_reviews.csv,1.0,-0.4767,-0.4,0.4,negative,grab app is not working for 4hrs now since april 5 6pm,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"I'm so sick of this company, the driver makes multiple deliveries so it's always cold and late",i am so sick of this company the driver makes multiple deliveries so it is always cold and late,"i am so sick of this company, the driver makes multiple deliveries so it is always cold and late",foodpanda_reviews.csv,1.0,-0.5563,-0.4035714285714286,0.6142857142857143,negative,"i'm so sick of this company, the driver makes multiple deliveries so it's always cold and late",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
App paling teruk lepas update! Cannot use voucher because for selected customer only ! App bugs and lagging,app paling terrible lepas update unusable voucher because for selected customer only app bugs and lagging,app paling terrible lepas update! unusable voucher because for selected customer only! app bugs and lagging,foodpanda_reviews.csv,1.0,-0.6988,-0.5,1.0,negative,app paling teruk lepas update! cannot use voucher because for selected customer only ! app bugs and lagging,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"একটা ফালতু এ্যাপ😤😤😤 কোনো রাইডার শো করেনা,বালের অনলাইন ফুড অর্ডার এ্যাপ😤😤😡😡",face with steam from nose face with steam from nose face with steam from nose face with steam from nose face with steam from nose angry angry,"face with steam from nose face with steam from nose face with steam from nose, face with steam from nose face with steam from nose angry angry",foodpanda_reviews.csv,1.0,-0.765,-0.5,1.0,negative,"একটা ফালতু এ্যাপ😤😤😤 কোনো রাইডার শো করেনা,বালের অনলাইন ফুড অর্ডার এ্যাপ😤😤😡😡",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Bakit hindi kayo tumatanggap ng cash on delivery at laging cancelled? Ayusin nyo! Tagal ko ng umoorder sa inyo and i have no bad record ng pag order. Kung hindi rin lang kayo tatanggap ng COD, please lang, PAKITANGGAL sa PAYMENT OPTIONS! Kasi USELESS!",bakit hindi kayo tumatanggap ng cash on delivery at laging cancelled ayusin nyo tagal ko ng umoorder sa inyo and i have no NOT_bad NOT_record NOT_ng NOT_pag order kung hindi rin lang kayo tatanggap ng cod please lang pakitanggal sa payme not NOT_options kasi useless,"bakit hindi kayo tumatanggap ng cash on delivery at laging cancelled? ayusin nyo! tagal ko ng umoorder sa inyo and i have no bad record ng pag order. kung hindi rin lang kayo tatanggap ng cod, please lang, pakitanggal sa payme not options! kasi useless!",foodpanda_reviews.csv,1.0,-0.6052,-0.09375000000000006,0.43333333333333335,negative,"bakit hindi kayo tumatanggap ng cash on delivery at laging cancelled? ayusin nyo! tagal ko ng umoorder sa inyo and i have no bad record ng pag order. kung hindi rin lang kayo tatanggap ng cod, please lang, pakitanggal sa payment options! kasi useless!",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
