audit_id,review,review_processed,text_sentiment,source_file,review_rating,human_sentiment,reviewer_notes
36,Mganda at maayos yung iba lng n driver ang hindi pero maayos ang pkkitungo ng mga driver at mbilis. Salamat.,mganda at maayos yung iba lng n driver ang hindi pero maayos ang pkkitungo ng mga driver at mbilis salamat,neutral,grab_reviews.csv,5,,
37,"Although its good to use but if you got the wrong food than there is nothing you can do, no helpline nothing juat creepy stereotype question...",although its good to use but if you got the wrong food than there is nothing you can do no NOT_helpline NOT_nothing NOT_juat NOT_creepy stereotype question CONTRAST_FOCUS if you got the wrong food than there is nothing you can do no NOT_helpline NOT_nothing NOT_juat NOT_creepy stereotype question CONTRAST_FOCUS if you got the wrong food than there is nothing you can do no NOT_helpline NOT_nothing NOT_juat NOT_creepy stereotype question,negative,foodpanda_reviews.csv,3,,
38,Other than brands food quality is below average. Highly disappointed. Not going to order again,other than brands food quality is below average highly disappointed not NOT_going NOT_to NOT_order NOT_again,negative,foodpanda_reviews.csv,1,,
39,Stupid app. Can't even place order. Waste of time.,stupid app cannot NOT_even NOT_place NOT_order waste of time,negative,foodpanda_reviews.csv,1,,
40,"Terrible app. Very difficult to get registered and once I finally am, the app keeps crashing and does not work! Very frustrating!",terrible app very difficult to get registered and once i finally am the app keeps crashing and broken very frustrating,negative,grab_reviews.csv,1,,
41,pathetic App.. No customer care reponse and even when they response they make excuses..I lost my money and time.in short completely pathatic,pathetic app no NOT_customer NOT_care NOT_reponse NOT_and even when they response they make excuses i lost my money and time in short completely pathatic,negative,foodpanda_reviews.csv,1,,
42,"Worst, they don't refund your money when you pay with panda pay as they promise 5 business days. WORST APP",worst they do not NOT_refund NOT_your NOT_money NOT_when you pay with panda pay as they promise 5 business days worst app,negative,foodpanda_reviews.csv,1,,
43,yup great app until now,yup great app until now,positive,foodpanda_reviews.csv,5,,
44,App is not working. Allow you to cash in but can't use the money that you cash in because the app is not recognizing the photo you are uploading. Can cash in but can't use your hard earned money. This is criminal!,app is broken allow you to cash in but unusable the money that you cash in because the app is not NOT_recognizing NOT_the NOT_photo NOT_you are uploading can cash in but unusable your hard earned money this is criminal CONTRAST_FOCUS unusable your hard earned money this is criminal CONTRAST_FOCUS unusable your hard earned money this is criminal,negative,grab_reviews.csv,1,,
45,Order kuch karo milta kuch ha .or oder ma jo chez huti ha wo bahjty hi nahi.😡😡,order kuch karo milta kuch ha or oder ma jo chez huti ha wo bahjty hi nahi angry angry,negative,foodpanda_reviews.csv,1,,
46,Going Worst day by day by increasing delivery charges,going worst day by day by increasing delivery charges,negative,foodpanda_reviews.csv,1,,
47,Easy to use and helpful when needed. All the driver easy to find,easy to use and helpful when needed all the driver easy to find,positive,grab_reviews.csv,5,,
48,easy to use. splendid !,easy to use splendid,positive,foodpanda_reviews.csv,5,,
49,"Waited for four hours then told me they could not find a driver,",waited for four hours then told me they could not NOT_find NOT_a NOT_driver,neutral,grab_reviews.csv,1,,
50,Good application and help.us in transportation,good application and help us in transportation,positive,grab_reviews.csv,5,,
51,Cant use grab app after update.. Cant log in,ca not NOT_use NOT_grab NOT_app NOT_after update ca not NOT_log NOT_in,neutral,grab_reviews.csv,5,,
52,Nakakainis taga taguig ako pero pembo lumalabas kahit anong refresh ayaw parin gumana gagalit ata saken yung driver e,nakakainis taga taguig ako pero pembo lumalabas kahit anong refresh ayaw parin gumana gagalit ata saken yung driver e,neutral,foodpanda_reviews.csv,3,,
53,This app is getting better and more,this app is getting better and more,positive,grab_reviews.csv,5,,
54,Find a restaurant is annoying. I had to go back from the search menu instead going back from the list. Worst UI ever,find a restaura not NOT_is NOT_annoying i had to go back from the search menu instead going back from the list worst ui ever,negative,foodpanda_reviews.csv,1,,
55,Grab mantaaap,grab excellent,positive,grab_reviews.csv,5,,
56,"Accurate GPS and make me easy for my trip around Jakarta, thank you Grab",accurate gps and make me easy for my trip around jakarta thank you grab,positive,grab_reviews.csv,5,,
57,Rating system is flawed. Customer service is worst. Did not receive my order and rider marked it delivered.,rating system is flawed customer service is worst did not NOT_receive NOT_my NOT_order NOT_and rider marked it delivered,negative,foodpanda_reviews.csv,1,,
58,"Paid for an item thru gcash,i wasnt able to answer my phone because im at the middle of presenting a report for my work,they cancelled with no refunds",paid for an item thru gcash i was not NOT_able NOT_to NOT_answer NOT_my phone because im at the middle of presenting a report for my work they cancelled with no NOT_refunds,negative,foodpanda_reviews.csv,1,,
59,experience is something you can eat phyisically. what a shame..,experience is something you can eat phyisically what a shame,neutral,grab_reviews.csv,5,,
60,"Untuk grab food kenapa hrs ada order gabungan y ? Hr ini ank sy lagi sakit, dan maunya makan yg sy pesan. Makanan smpe rmh dingin dan lama 😢",untuk grab food kenapa hrs ada order gabungan y hr ini ank sy lagi sakit dan maunya makan yg sy pesan makanan smpe rmh dingin dan lama sad,negative,grab_reviews.csv,3,,
61,easy for all,easy for all,positive,grab_reviews.csv,5,,
62,it's very bad ☹️ app,it is very bad frowning face app,negative,foodpanda_reviews.csv,1,,
63,Terrible customer service!!! The $3 Waiting Fee is too much!!! Horrible Money Grabbing Grab!!! Use GoJek better!!!,terrible customer service the 3 waiting fee is too much horrible money grabbing grab use gojek better,negative,grab_reviews.csv,1,,
64,Sering ngadat pas mau bales driver. Terus harga di store makanan sering salah. Bedanya jauh. Suruh update yang jual dong.,sering ngadat pas mau bales driver terus harga di store makanan sering salah bedanya jauh suruh update yang jual dong,neutral,grab_reviews.csv,3,,
65,Mewujudkan yang tak mungkin.,mewujudkan yang not NOT_mungkin,neutral,grab_reviews.csv,5,,
66,Kenapa setelah update aplikasi saya harus verifikasi dengan foto selfie atau menambahkan nomor kartu kredit/debit saya hanya untuk pemesanan??? Are you crazy??? I am your customer. Saya pakai produk anda & membayarnya langsung bukan ingin melakukan pinjaman atau sejenisnya yang membutuhkan verifikasi foto. Jangan berlebihan meminta hal terlalu pribadi ke pelanggan.,kenapa setelah update aplikasi saya harus verifikasi dengan foto selfie atau menambahkan nomor kartu kredit debit saya hanya untuk pemesanan are you crazy i am your customer saya pakai produk anda membayarnya langsung not NOT_ingin NOT_melakukan NOT_pinjaman NOT_atau sejenisnya yang membutuhkan verifikasi foto jangan berlebihan meminta hal terlalu pribadi ke pelanggan,negative,grab_reviews.csv,1,,
67,Lock down severely effects on services...updated version of app is also not working properly ..,lock down severely effects on services updated version of app is also broken properly,negative,foodpanda_reviews.csv,4,,
68,Its very helpful !!,its very helpful,positive,foodpanda_reviews.csv,4,,
69,kalau lagi dibutuhin kenapa kadang error?? but useless banget lah,kalau lagi dibutuhin kenapa kadang error but useless banget CONTRAST_FOCUS useless banget CONTRAST_FOCUS useless banget,negative,grab_reviews.csv,4,,
70,I just want to say ‘LANT LANT LANT´,i just wa not NOT_to NOT_say NOT_la not NOT_la not NOT_la not,neutral,foodpanda_reviews.csv,1,,
71,"Totally love it, but I never get to give ratings to shop and rider as soon as I received my order.",totally love it but i never NOT_get NOT_to NOT_give NOT_ratings to shop and rider as soon as i received my order CONTRAST_FOCUS i never NOT_get NOT_to NOT_give NOT_ratings to shop and rider as soon as i received my order CONTRAST_FOCUS i never NOT_get NOT_to NOT_give NOT_ratings to shop and rider as soon as i received my order,neutral,foodpanda_reviews.csv,5,,
72,Have downloaded it.. but couldnt find motor icon in it.. what should i do ?,have downloaded it but could not NOT_find NOT_motor NOT_icon NOT_in it what should i do CONTRAST_FOCUS could not NOT_find NOT_motor NOT_icon NOT_in it what should i do CONTRAST_FOCUS could not NOT_find NOT_motor NOT_icon NOT_in it what should i do,neutral,grab_reviews.csv,1,,
73,"I love food❤️ Thanks FP for this apps,love it",i love food love thanks fp for this apps love it,positive,foodpanda_reviews.csv,5,,
74,make it easyer to anybody,make it easyer to anybody,neutral,grab_reviews.csv,5,,
75,My app doesn't have food for deliver,my app does not NOT_have NOT_food NOT_for NOT_deliver,neutral,grab_reviews.csv,1,,
76,"No issue with the service so far, great app, Thank you Mobile dev team ❤️ 10/10",acceptable good with the service so far great app thank you mobile dev team love 10 10,positive,grab_reviews.csv,5,,
77,Your one employee is disturbing me after delivery.This is not acceptable behaviour .,your one employee is disturbing me after delivery this is not NOT_acceptable NOT_behaviour,negative,foodpanda_reviews.csv,5,,
78,difficult to download...,difficult to download,negative,grab_reviews.csv,1,,
79,My order is late every time Not good experience,my order is late every time bad experience,negative,foodpanda_reviews.csv,1,,
80,Satisfied customer here...we always use grab,satisfied customer here we always use grab,positive,grab_reviews.csv,5,,
81,"Dapet driver selalu yg jauh mulu bisa 10-15mnt, padahal ada driver sekitar lebih deket blm dapet order, ngaco bgt nyariim drivernya",dapet driver selalu yg jauh mulu bisa 10 15 m not padahal ada driver sekitar lebih deket blm dapet order ngaco bgt nyariim drivernya,neutral,grab_reviews.csv,2,,
82,i can't find someone's house,i cannot NOT_find NOT_someone's NOT_house,neutral,grab_reviews.csv,4,,
83,Very very bad exp,very very bad exp,negative,foodpanda_reviews.csv,1,,
84,We want UBER back !,we wa not NOT_uber NOT_back,neutral,grab_reviews.csv,1,,
85,already use high location services but still not working,already use high location services but still broken CONTRAST_FOCUS still broken CONTRAST_FOCUS still broken,negative,grab_reviews.csv,1,,
86,Why they don't show the prices??,why they do not NOT_show NOT_the NOT_prices,neutral,grab_reviews.csv,2,,
87,Can't find the location on the map,cannot NOT_find NOT_the NOT_location NOT_on the map,neutral,foodpanda_reviews.csv,2,,
88,Bad apps and service. Before this i have no trouble at getting a car. But after the system changed i'd always have to wait like forever to get a car for a mere distance! Not to mention you all are quick at increasing the rate for mere distance (rm20 for <5km?!) but so slow at getting the car. Apps always lagging. I had to reopen the apps countless of times due to lag. I sometimes had to wait for 2 hours although there's potential driver nearby (according to map).,bad apps and service before this i have no NOT_trouble NOT_at NOT_getting NOT_a car but after the system changed i'd always have to wait like forever to get a car for a mere distance not NOT_to NOT_mention NOT_you NOT_all are quick at increasing the rate for mere distance rm 20 for 5 km but so slow at getting the car apps always lagging i had to reopen the apps countless of times due to lag i sometimes had to wait for 2 hours although there's potential driver nearby according to map CONTRAST_FOCUS so slow at getting the car apps always lagging i had to reopen the apps countless of times due to lag i sometimes had to wait for 2 hours although there's potential driver nearby according to map CONTRAST_FOCUS so slow at getting the car apps always lagging i had to reopen the apps countless of times due to lag i sometimes had to wait for 2 hours although there's potential driver nearby according to map,negative,grab_reviews.csv,1,,
89,"I dnt like this, berat, teruk",i d not NOT_like NOT_this berat terrible,negative,grab_reviews.csv,1,,
90,I tried to order then the app said that it will send a verification code. I encoded the verification code and it is always incorrect. This happened about 10 times and I got tired of trying to order from you.,i tried to order then the app said that it will send a verification code i encoded the verification code and it is always incorrect this happened about 10 times and i got tired of trying to order from you,negative,foodpanda_reviews.csv,1,,
91,Promo dan event yang diluncurkan sangat menarik dan mudah untuk digunakan sehari hari,promo dan eve not NOT_yang NOT_diluncurkan NOT_sangat NOT_menarik dan mudah untuk digunakan sehari hari,neutral,grab_reviews.csv,5,,
92,great. but still lacking drivers during peak times,great but still lacking drivers during peak times CONTRAST_FOCUS still lacking drivers during peak times CONTRAST_FOCUS still lacking drivers during peak times,neutral,grab_reviews.csv,5,,
93,The rider cancelled my order after waiting for it for 20 mins!!!. And they gave me 85 pesos voucher to compensate??????. Really???? 👎👎👎👎,the rider cancelled my order after waiting for it for 20 mins and they gave me 85 pesos voucher to compensate really bad bad bad bad,negative,foodpanda_reviews.csv,1,,
94,Easy to use and works awesome with best order tracking live....,easy to use and works awesome with excellent order tracking live,positive,foodpanda_reviews.csv,5,,
95,"Worst customer service. Had to wait 2 hours for delivery and when cancelled, refund takes forever.",worst customer service had to wait 2 hours for delivery and when cancelled refund takes forever,negative,foodpanda_reviews.csv,1,,
96,i have done payment for my order and it suddenly pop out order cancelled.. it is quite scary.,i have done payme not NOT_for NOT_my NOT_order NOT_and it suddenly pop out order cancelled it is quite scary,negative,foodpanda_reviews.csv,3,,
97,Faltoo bkash a payment ney na,faltoo bkash a payme not NOT_ney NOT_na,neutral,foodpanda_reviews.csv,1,,
98,Where can I see your ride estimator?,where can i see your ride estimator,neutral,grab_reviews.csv,5,,
99,"Relaxed, smooth driver.",relaxed smooth driver,positive,grab_reviews.csv,5,,
100,Bad user interface. Specifically in entering date.,bad user interface specifically in entering date,negative,grab_reviews.csv,1,,
101,TRASH! SPECIALLY THE CHAT SUPPORT!,trash specially the chat support,positive,foodpanda_reviews.csv,1,,
102,Worst app. This is the worst example of customer service.,worst app this is the worst example of customer service,negative,foodpanda_reviews.csv,1,,
103,***** Very very poor app and very poor developer ***** who made and maintaining this app. He doesn't know that there should b a section of special instructions in placing order for the restaurant.,very very poor app and very poor developer who made and maintaining this app he does not NOT_know NOT_that NOT_there NOT_should b a section of special instructions in placing order for the restaura not,negative,foodpanda_reviews.csv,1,,
104,Why are you taking forever to verify my ID?,why are you taking forever to verify my id,neutral,grab_reviews.csv,1,,
105,Reliable and good drivers,reliable and good drivers,positive,grab_reviews.csv,5,,
106,The best food delivery app. THANKS.,the excellent food delivery app thanks,positive,foodpanda_reviews.csv,5,,
107,Food panda farud company,food panda farud company,neutral,foodpanda_reviews.csv,1,,
108,Panget kompanya niyo nangiiwan kayo sa ere iniiwan nyo ung rider niyo sana ma bankrupt kayo 😡😡😡,panget kompanya niyo nangiiwan kayo sa ere iniiwan nyo ung rider niyo sana ma bankrupt kayo angry angry angry,negative,foodpanda_reviews.csv,1,,
109,Asyik berupdate penuhkan storage tp sama je,asyik berupdate penuhkan storage tp sama je,neutral,grab_reviews.csv,1,,
110,become more worst conpare than last year price so dammm expensive,become more worst conpare than last year price so dam expensive,negative,grab_reviews.csv,1,,
111,Sudah mulai ada peningkatan dalam hal promo & discount. Pertahankan!!,sudah mulai ada peningkatan dalam hal promo discou not pertahankan,neutral,grab_reviews.csv,4,,
112,"The app has a great price with a great timing, really helpful for a person who have a commuter like me",the app has a great price with a great timing really helpful for a person who have a commuter like me,positive,grab_reviews.csv,5,,
113,"Totally pathetic service, they don't care about your time, even they don't need business. If you have 2 hours so you can place your order.",totally pathetic service they do not NOT_care NOT_about NOT_your NOT_time even they do not NOT_need NOT_business if you have 2 hours so you can place your order,negative,foodpanda_reviews.csv,1,,
114,Great App. Convenient ordering food.,great app convenie not NOT_ordering NOT_food,positive,foodpanda_reviews.csv,5,,
115,Love the app... Issues were solved with some rewards also.,love the app issues were solved with some rewards also,positive,foodpanda_reviews.csv,5,,
116,"TOLONG SEBESAR""NYA DIUBAH LG SISTEM KLIAN TERKAIT PEMBATALAN 3 KALI DIKARENAKAN DRIVER YG TIDAK MAU AMBIL PESANAN DAN TERKENA KE CUSTOMER SEHINGGA CUSTOMER TIDAK BISA MENGORDER LAGI ATAU HARUS MENUNGGU BESOK. SAYA MOHON SANGAT UNTUK PERHATIAN DARI GRAB KRN SISTEM KLIAN ITU SANGAT MERUGIKAN KAMI",tolong sebesar nya diubah lg sistem klian terkait pembatalan 3 kali dikarenakan driver yg not NOT_mau NOT_ambil NOT_pesanan NOT_dan terkena ke customer sehingga customer not NOT_bisa NOT_mengorder NOT_lagi NOT_atau harus menunggu besok saya mohon sangat untuk perhatian dari grab krn sistem klian itu sangat merugikan kami,neutral,grab_reviews.csv,1,,
117,แอปที่ไม่สามารถลบบัญชีได้ เพื่อหลอกตัวเองและคนอื่นๆ ว่ายังมีลูกค้าเยอะ ที่จริงควรจะโดนถอดออกจาก store ด้วยซ้ำเพราะน่าจะผิดกฏเรื่องการเก็บรักษาข้อมูลลูกค้า ดีนะ pdpa เลื่อนไม่งั้นโดนฟ้องแน่ๆ,store pdpa,neutral,foodpanda_reviews.csv,1,,
118,Super fast delivery ❤️,super fast delivery love,positive,foodpanda_reviews.csv,5,,
119,Punklich,punklich,neutral,grab_reviews.csv,5,,
120,Best app always respond. Customer service is excellent,excellent app always respond customer service is excellent not,positive,foodpanda_reviews.csv,5,,
121,I am unhappy with food which I oder as pizza was late due to wrong delivered then later on again came but it was cold and was not good very bad quality of food I am removing the app from my mobile and will tell other people also to remove this app ...... wast of money don't buy anything from foodpanda,i am unhappy with food which i oder as pizza was late due to wrong delivered then later on again came but it was cold and was bad very bad quality of food i am removing the app from my mobile and will tell other people also to remove this app wast of money do not NOT_buy NOT_anything NOT_from NOT_foodpanda CONTRAST_FOCUS it was cold and was bad very bad quality of food i am removing the app from my mobile and will tell other people also to remove this app wast of money do not NOT_buy NOT_anything NOT_from NOT_foodpanda CONTRAST_FOCUS it was cold and was bad very bad quality of food i am removing the app from my mobile and will tell other people also to remove this app wast of money do not NOT_buy NOT_anything NOT_from NOT_foodpanda,negative,foodpanda_reviews.csv,1,,
122,Pharmaceutical,pharmaceutical,neutral,grab_reviews.csv,4,,
123,Why cannot booking grabcar,why cannot NOT_booking NOT_grabcar,neutral,grab_reviews.csv,5,,
124,Exclint app,excli not NOT_app,neutral,foodpanda_reviews.csv,5,,
125,now the system take a longer way to double the fare.,now the system take a longer way to double the fare,neutral,grab_reviews.csv,1,,
126,Nice experiences with grab so far 😊 keep up the good work!,nice experiences with grab so far smiling face with smiling eyes keep up the good work,positive,grab_reviews.csv,5,,
127,"My food order was completed without me receiving it and my grab wallet has been charged. The food was expensive and the support took too long to respond, there's no option to call and it sucks!",my food order was completed without me receiving it and my grab wallet has been charged the food was expensive and the support took too long to respond there's no NOT_option NOT_to NOT_call NOT_and it sucks,negative,grab_reviews.csv,1,,
128,Convenient to order delivery food. The apps updated.,convenie not NOT_to NOT_order NOT_delivery NOT_food the apps updated,neutral,foodpanda_reviews.csv,5,,
129,Dis app does not let me give review anymore. How am i suppose to give comment on the food or whatsoever,dis app does not NOT_let NOT_me NOT_give NOT_review anymore how am i suppose to give comme not NOT_on NOT_the NOT_food NOT_or whatsoever,neutral,foodpanda_reviews.csv,4,,
130,Faced same issues with Swiggy of the unavailability of certain items but unlike them these guys took an effort to actually retain a loyal customer. Kudos!!,faced same issues with swiggy of the unavailability of certain items but unlike them these guys took an effort to actually retain a loyal customer kudos CONTRAST_FOCUS unlike them these guys took an effort to actually retain a loyal customer kudos CONTRAST_FOCUS unlike them these guys took an effort to actually retain a loyal customer kudos,positive,foodpanda_reviews.csv,4,,
131,Foodpanda: food & g... Rate this app,foodpanda food g rate this app,neutral,foodpanda_reviews.csv,5,,
132,Timp de asteptare foarte mare,timp de asteptare foarte mare,neutral,foodpanda_reviews.csv,1,,
133,cant use the gcash method !,ca not NOT_use NOT_the NOT_gcash NOT_method,neutral,foodpanda_reviews.csv,1,,
134,"Probably the worst customer experience and in some cases customer service. Have a terrible way to update you if your order is not going to be fulfilled and this problem has been for the past three years and nothing has been done about it. In case your order is not going to make it, the app keeps showing you that your order is going to be processed but the wait time keeps increasing. Unless the user personally follows up, the status remains that way. Once you follow up, then you get a response",probably the worst customer experience and in some cases customer service have a terrible way to update you if your order is not NOT_going NOT_to NOT_be NOT_fulfilled and this problem has been for the past three years and nothing has been done about it in case your order is not NOT_going NOT_to NOT_make NOT_it the app keeps showing you that your order is going to be processed but the wait time keeps increasing unless the user personally follows up the status remains that way once you follow up then you get a response CONTRAST_FOCUS the wait time keeps increasing unless the user personally follows up the status remains that way once you follow up then you get a response CONTRAST_FOCUS the wait time keeps increasing unless the user personally follows up the status remains that way once you follow up then you get a response,neutral,foodpanda_reviews.csv,1,,
135,keep it up ur good work,keep it up ur good work,positive,grab_reviews.csv,5,,
136,"good, worked flawlessly everytime i make an order.",good worked flawlessly everytime i make an order,positive,foodpanda_reviews.csv,5,,
137,ga jelas semua driver nya. ga pernah d training apa? pelayanan ny makin aneh2 aja,ga jelas semua driver nya ga pernah d training apa pelayanan ny makin aneh 2 aja,neutral,grab_reviews.csv,1,,
138,เป็น app ที่ไม่มีความเป็นคน รับใช้ dictator,app dictator,neutral,foodpanda_reviews.csv,1,,
139,Recently update which I couldn't even access the app,recently update which i could not NOT_even NOT_access NOT_the NOT_app,neutral,grab_reviews.csv,2,,
140,40 mint time dy kr 120-150 mint k baad order milta hi. bihat hi ziyada time waste hota hi.kaash k negative mai b review hota to mai whi deta,40 mi not NOT_time NOT_dy NOT_kr NOT_120 150 mi not NOT_k NOT_baad NOT_order NOT_milta hi bihat hi ziyada time waste hota hi kaash k negative mai b review hota to mai whi deta,negative,foodpanda_reviews.csv,1,,
141,Chatting with driver become sms??,chatting with driver become sms,neutral,grab_reviews.csv,1,,
142,Laging maintenance amp,laging maintenance amp,neutral,grab_reviews.csv,1,,
143,"should add notes area, in case we want to write additonal instructions to the vendor.",should add notes area in case we wa not NOT_to NOT_write NOT_additonal NOT_instructions to the vendor,neutral,foodpanda_reviews.csv,5,,
144,Selalu dapat driver jauh. Sangat gak bisa diandalkan utk ngejar waktu,selalu dapat driver jauh sangat gak bisa diandalkan utk ngejar waktu,neutral,grab_reviews.csv,2,,
145,Fun grabbing it this app. Thanks for the rides. Everywhere in Asia we travel we grab.,fun grabbing it this app thanks for the rides everywhere in asia we travel we grab,positive,grab_reviews.csv,5,,
146,Great app 5 🌟,great app 5 glowing star,positive,foodpanda_reviews.csv,5,,
