pattern_id,review,text_sentiment,language_pattern,pattern_type,review_processed,label_text,source_file,review_rating,normalized_key,vader_compound,textblob_polarity,textblob_subjectivity,label_source
TR0024,"Packaging was nice, but I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,packaging was nice but i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"packaging was nice, but i cannot recommend it.",,,,team-curated linguistic pattern label
TR0025,"Packaging was nice, however it tastes awful.",negative,English/Malay/Manglish,contrast_tail,packaging was nice however it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"packaging was nice, however it tastes awful.",,,,team-curated linguistic pattern label
TR0026,"Packaging was nice, yet food tak sedap.",negative,English/Malay/Manglish,contrast_tail,packaging was nice yet food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"packaging was nice, yet food tak sedap.",,,,team-curated linguistic pattern label
TR0027,"Packaging was nice, tapi saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,packaging was nice but saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"packaging was nice, tapi saya tak puas hati.",,,,team-curated linguistic pattern label
TR0028,"Packaging was nice, tetapi service teruk gila.",negative,English/Malay/Manglish,contrast_tail,packaging was nice but service very terrible CONTRAST_FOCUS service very terrible CONTRAST_FOCUS service very terrible,service very terrible.,curated_multilingual_patterns,,"packaging was nice, tetapi service teruk gila.",,,,team-curated linguistic pattern label
TR0029,"Packaging was nice, but order langsung tak sampai.",negative,English/Malay/Manglish,contrast_tail,packaging was nice but order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived,order langsung not arrived.,curated_multilingual_patterns,,"packaging was nice, but order langsung tak sampai.",,,,team-curated linguistic pattern label
TR0030,"Packaging was nice, however app tak boleh guna.",negative,English/Malay/Manglish,contrast_tail,packaging was nice however app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,app unusable.,curated_multilingual_patterns,,"packaging was nice, however app tak boleh guna.",,,,team-curated linguistic pattern label
TR0031,"Delivery was fast, tapi I do not like it.",negative,English/Malay/Manglish,contrast_tail,delivery was fast but i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"delivery was fast, tapi i do not like it.",,,,team-curated linguistic pattern label
TR0032,"Delivery was fast, tetapi I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,delivery was fast but i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"delivery was fast, tetapi i dislike the taste.",,,,team-curated linguistic pattern label
TR0033,"Delivery was fast, but the food was stale.",negative,English/Malay/Manglish,contrast_tail,delivery was fast but the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"delivery was fast, but the food was stale.",,,,team-curated linguistic pattern label
TR0034,"Delivery was fast, however I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,delivery was fast however i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"delivery was fast, however i cannot recommend it.",,,,team-curated linguistic pattern label
TR0035,"Delivery was fast, yet it tastes awful.",negative,English/Malay/Manglish,contrast_tail,delivery was fast yet it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"delivery was fast, yet it tastes awful.",,,,team-curated linguistic pattern label
TR0036,"Delivery was fast, tapi food tak sedap.",negative,English/Malay/Manglish,contrast_tail,delivery was fast but food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"delivery was fast, tapi food tak sedap.",,,,team-curated linguistic pattern label
TR0037,"Delivery was fast, tetapi saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,delivery was fast but saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"delivery was fast, tetapi saya tak puas hati.",,,,team-curated linguistic pattern label
TR0038,"Delivery was fast, but service teruk gila.",negative,English/Malay/Manglish,contrast_tail,delivery was fast but service very terrible CONTRAST_FOCUS service very terrible CONTRAST_FOCUS service very terrible,service very terrible.,curated_multilingual_patterns,,"delivery was fast, but service teruk gila.",,,,team-curated linguistic pattern label
TR0039,"Delivery was fast, however order langsung tak sampai.",negative,English/Malay/Manglish,contrast_tail,delivery was fast however order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived,order langsung not arrived.,curated_multilingual_patterns,,"delivery was fast, however order langsung tak sampai.",,,,team-curated linguistic pattern label
TR0040,"Delivery was fast, yet app tak boleh guna.",negative,English/Malay/Manglish,contrast_tail,delivery was fast yet app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,app unusable.,curated_multilingual_patterns,,"delivery was fast, yet app tak boleh guna.",,,,team-curated linguistic pattern label
TR0041,"Harga murah, tetapi I do not like it.",negative,English/Malay/Manglish,contrast_tail,harga cheap but i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"harga murah, tetapi i do not like it.",,,,team-curated linguistic pattern label
TR0042,"Harga murah, but I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,harga cheap but i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"harga murah, but i dislike the taste.",,,,team-curated linguistic pattern label
TR0043,"Harga murah, however the food was stale.",negative,English/Malay/Manglish,contrast_tail,harga cheap however the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"harga murah, however the food was stale.",,,,team-curated linguistic pattern label
TR0044,"Harga murah, yet I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,harga cheap yet i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"harga murah, yet i cannot recommend it.",,,,team-curated linguistic pattern label
TR0045,"Harga murah, tapi it tastes awful.",negative,English/Malay/Manglish,contrast_tail,harga cheap but it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"harga murah, tapi it tastes awful.",,,,team-curated linguistic pattern label
TR0046,"Harga murah, tetapi food tak sedap.",negative,English/Malay/Manglish,contrast_tail,harga cheap but food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"harga murah, tetapi food tak sedap.",,,,team-curated linguistic pattern label
TR0047,"Harga murah, but saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,harga cheap but saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"harga murah, but saya tak puas hati.",,,,team-curated linguistic pattern label
TR0048,"Harga murah, however service teruk gila.",negative,English/Malay/Manglish,contrast_tail,harga cheap however service very terrible CONTRAST_FOCUS service very terrible CONTRAST_FOCUS service very terrible,service very terrible.,curated_multilingual_patterns,,"harga murah, however service teruk gila.",,,,team-curated linguistic pattern label
TR0049,"Harga murah, yet order langsung tak sampai.",negative,English/Malay/Manglish,contrast_tail,harga cheap yet order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived,order langsung not arrived.,curated_multilingual_patterns,,"harga murah, yet order langsung tak sampai.",,,,team-curated linguistic pattern label
TR0050,"Harga murah, tapi app tak boleh guna.",negative,English/Malay/Manglish,contrast_tail,harga cheap but app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,app unusable.,curated_multilingual_patterns,,"harga murah, tapi app tak boleh guna.",,,,team-curated linguistic pattern label
TR0051,"Makanan nampak sedap, but I do not like it.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious but i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"makanan nampak sedap, but i do not like it.",,,,team-curated linguistic pattern label
TR0052,"Makanan nampak sedap, however I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious however i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"makanan nampak sedap, however i dislike the taste.",,,,team-curated linguistic pattern label
TR0053,"Makanan nampak sedap, yet the food was stale.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious yet the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"makanan nampak sedap, yet the food was stale.",,,,team-curated linguistic pattern label
TR0054,"Makanan nampak sedap, tapi I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious but i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"makanan nampak sedap, tapi i cannot recommend it.",,,,team-curated linguistic pattern label
TR0055,"Makanan nampak sedap, tetapi it tastes awful.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious but it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"makanan nampak sedap, tetapi it tastes awful.",,,,team-curated linguistic pattern label
TR0056,"Makanan nampak sedap, but food tak sedap.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious but food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"makanan nampak sedap, but food tak sedap.",,,,team-curated linguistic pattern label
TR0057,"Makanan nampak sedap, however saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious however saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"makanan nampak sedap, however saya tak puas hati.",,,,team-curated linguistic pattern label
TR0058,"Makanan nampak sedap, yet service teruk gila.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious yet service very terrible CONTRAST_FOCUS service very terrible CONTRAST_FOCUS service very terrible,service very terrible.,curated_multilingual_patterns,,"makanan nampak sedap, yet service teruk gila.",,,,team-curated linguistic pattern label
TR0059,"Makanan nampak sedap, tapi order langsung tak sampai.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious but order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived,order langsung not arrived.,curated_multilingual_patterns,,"makanan nampak sedap, tapi order langsung tak sampai.",,,,team-curated linguistic pattern label
TR0060,"Makanan nampak sedap, tetapi app tak boleh guna.",negative,English/Malay/Manglish,contrast_tail,makanan nampak delicious but app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,app unusable.,curated_multilingual_patterns,,"makanan nampak sedap, tetapi app tak boleh guna.",,,,team-curated linguistic pattern label
TR0061,"App design memang cantik, however I do not like it.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful however i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"app design memang cantik, however i do not like it.",,,,team-curated linguistic pattern label
TR0062,"App design memang cantik, yet I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful yet i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"app design memang cantik, yet i dislike the taste.",,,,team-curated linguistic pattern label
TR0063,"App design memang cantik, tapi the food was stale.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful but the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"app design memang cantik, tapi the food was stale.",,,,team-curated linguistic pattern label
TR0064,"App design memang cantik, tetapi I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful but i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"app design memang cantik, tetapi i cannot recommend it.",,,,team-curated linguistic pattern label
TR0065,"App design memang cantik, but it tastes awful.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful but it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"app design memang cantik, but it tastes awful.",,,,team-curated linguistic pattern label
TR0066,"App design memang cantik, however food tak sedap.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful however food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"app design memang cantik, however food tak sedap.",,,,team-curated linguistic pattern label
TR0067,"App design memang cantik, yet saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful yet saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"app design memang cantik, yet saya tak puas hati.",,,,team-curated linguistic pattern label
TR0068,"App design memang cantik, tapi service teruk gila.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful but service very terrible CONTRAST_FOCUS service very terrible CONTRAST_FOCUS service very terrible,service very terrible.,curated_multilingual_patterns,,"app design memang cantik, tapi service teruk gila.",,,,team-curated linguistic pattern label
TR0069,"App design memang cantik, tetapi order langsung tak sampai.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful but order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived,order langsung not arrived.,curated_multilingual_patterns,,"app design memang cantik, tetapi order langsung tak sampai.",,,,team-curated linguistic pattern label
TR0070,"App design memang cantik, but app tak boleh guna.",negative,English/Malay/Manglish,contrast_tail,app design memang beautiful but app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,app unusable.,curated_multilingual_patterns,,"app design memang cantik, but app tak boleh guna.",,,,team-curated linguistic pattern label
TR0071,"Driver sampai cepat, yet I do not like it.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast yet i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"driver sampai cepat, yet i do not like it.",,,,team-curated linguistic pattern label
TR0072,"Driver sampai cepat, tapi I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast but i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"driver sampai cepat, tapi i dislike the taste.",,,,team-curated linguistic pattern label
TR0073,"Driver sampai cepat, tetapi the food was stale.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast but the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"driver sampai cepat, tetapi the food was stale.",,,,team-curated linguistic pattern label
TR0074,"Driver sampai cepat, but I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast but i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"driver sampai cepat, but i cannot recommend it.",,,,team-curated linguistic pattern label
TR0075,"Driver sampai cepat, however it tastes awful.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast however it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"driver sampai cepat, however it tastes awful.",,,,team-curated linguistic pattern label
TR0076,"Driver sampai cepat, yet food tak sedap.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast yet food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"driver sampai cepat, yet food tak sedap.",,,,team-curated linguistic pattern label
TR0077,"Driver sampai cepat, tapi saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast but saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"driver sampai cepat, tapi saya tak puas hati.",,,,team-curated linguistic pattern label
TR0078,"Driver sampai cepat, tetapi service teruk gila.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast but service very terrible CONTRAST_FOCUS service very terrible CONTRAST_FOCUS service very terrible,service very terrible.,curated_multilingual_patterns,,"driver sampai cepat, tetapi service teruk gila.",,,,team-curated linguistic pattern label
TR0079,"Driver sampai cepat, but order langsung tak sampai.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast but order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived,order langsung not arrived.,curated_multilingual_patterns,,"driver sampai cepat, but order langsung tak sampai.",,,,team-curated linguistic pattern label
TR0080,"Driver sampai cepat, however app tak boleh guna.",negative,English/Malay/Manglish,contrast_tail,driver sampai fast however app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,app unusable.,curated_multilingual_patterns,,"driver sampai cepat, however app tak boleh guna.",,,,team-curated linguistic pattern label
TR0081,"Promo looks attractive, tapi I do not like it.",negative,English/Malay/Manglish,contrast_tail,promo looks attractive but i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"promo looks attractive, tapi i do not like it.",,,,team-curated linguistic pattern label
TR0082,"Promo looks attractive, tetapi I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,promo looks attractive but i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"promo looks attractive, tetapi i dislike the taste.",,,,team-curated linguistic pattern label
TR0083,"Promo looks attractive, but the food was stale.",negative,English/Malay/Manglish,contrast_tail,promo looks attractive but the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"promo looks attractive, but the food was stale.",,,,team-curated linguistic pattern label
TR0084,"Promo looks attractive, however I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,promo looks attractive however i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"promo looks attractive, however i cannot recommend it.",,,,team-curated linguistic pattern label
TR0085,"Promo looks attractive, yet it tastes awful.",negative,English/Malay/Manglish,contrast_tail,promo looks attractive yet it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"promo looks attractive, yet it tastes awful.",,,,team-curated linguistic pattern label
TR0086,"Promo looks attractive, tapi food tak sedap.",negative,English/Malay/Manglish,contrast_tail,promo looks attractive but food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"promo looks attractive, tapi food tak sedap.",,,,team-curated linguistic pattern label
TR0087,"Promo looks attractive, tetapi saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,promo looks attractive but saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"promo looks attractive, tetapi saya tak puas hati.",,,,team-curated linguistic pattern label
